#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2014-01-01 00:00:00+00:00 2014-12-31 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
JFK,2014-01-01 00:51,-73.7622,40.6386,32.00,12.02,43.00,280.00,17.00,0.00,30.22,1023.20,10.00,25.00,SCT,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,20.08,KJFK 010051Z 28017G25KT 10SM SCT045 00/M11 A3022 RMK AO2 SLP232 T00001111
JFK,2014-01-01 01:51,-73.7622,40.6386,30.02,10.94,44.41,290.00,16.00,0.00,30.24,1023.80,10.00,21.00,SCT,M,M,M,4500.00,M,M,M,M,M,M,M,26.00,300.00,2014-01-01 01:29,17.84,KJFK 010151Z 29016G21KT 10SM SCT045 M01/M12 A3024 RMK AO2 PK WND 30026/0129 SLP238 T10111117
JFK,2014-01-01 02:51,-73.7622,40.6386,28.94,10.04,44.58,280.00,15.00,0.00,30.27,1024.80,10.00,20.00,SCT,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,16.81,KJFK 010251Z 28015G20KT 10SM SCT045 M02/M12 A3027 RMK AO2 SLP248 T10171122 52026
JFK,2014-01-01 03:51,-73.7622,40.6386,28.04,6.08,38.69,290.00,15.00,0.00,30.28,1025.30,10.00,21.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,15.65,KJFK 010351Z 29015G21KT 10SM CLR M02/M14 A3028 RMK AO2 SLP253 T10221144
JFK,2014-01-01 04:51,-73.7622,40.6386,26.96,5.00,38.50,280.00,15.00,0.00,30.30,1026.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,14.25,KJFK 010451Z 28015KT 10SM CLR M03/M15 A3030 RMK AO2 SLP260 T10281150 400111061
JFK,2014-01-01 05:51,-73.7622,40.6386,26.06,5.00,39.96,280.00,14.00,0.00,30.31,1026.30,10.00,20.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,13.51,KJFK 010551Z 28014G20KT 10SM CLR M03/M15 A3031 RMK AO2 SLP263 T10331150 10000 21033 51015
JFK,2014-01-01 06:51,-73.7622,40.6386,26.06,5.00,39.96,290.00,8.00,0.00,30.34,1027.30,10.00,19.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,16.80,KJFK 010651Z 29008G19KT 10SM CLR M03/M15 A3034 RMK AO2 SLP273 T10331150
JFK,2014-01-01 07:51,-73.7622,40.6386,24.98,6.98,45.74,280.00,11.00,0.00,30.36,1028.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,13.60,KJFK 010751Z 28011KT 10SM CLR M04/M14 A3036 RMK AO2 SLP280 T10391139
JFK,2014-01-01 08:51,-73.7622,40.6386,24.98,6.98,45.74,280.00,10.00,0.00,30.37,1028.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,14.16,KJFK 010851Z 28010KT 10SM CLR M04/M14 A3037 RMK AO2 SLP284 T10391139 51021
JFK,2014-01-01 09:51,-73.7622,40.6386,24.98,8.06,48.03,270.00,12.00,0.00,30.38,1028.80,10.00,M,FEW,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,13.07,KJFK 010951Z 27012KT 10SM FEW050 M04/M13 A3038 RMK AO2 SLP288 T10391133
JFK,2014-01-01 10:51,-73.7622,40.6386,24.98,10.04,52.50,260.00,10.00,0.00,30.40,1029.30,10.00,M,SCT,SCT,M,M,5000.00,25000.00,M,M,M,M,M,M,M,M,M,14.16,KJFK 011051Z 26010KT 10SM SCT050 SCT250 M04/M12 A3040 RMK AO2 SLP293 T10391122
JFK,2014-01-01 11:51,-73.7622,40.6386,24.08,10.04,54.51,260.00,6.00,0.00,30.41,1029.50,10.00,M,SCT,BKN,M,M,5500.00,25000.00,M,M,M,M,M,M,M,M,M,15.99,KJFK 011151Z 26006KT 10SM SCT055 BKN250 M04/M12 A3041 RMK AO2 SLP295 T10441122 11033 21044 51012
JFK,2014-01-01 12:51,-73.7622,40.6386,24.98,12.02,57.33,270.00,5.00,0.00,30.42,1029.90,10.00,M,FEW,SCT,BKN,M,4000.00,5500.00,25000.00,M,M,M,M,M,M,M,M,18.06,KJFK 011251Z 27005KT 10SM FEW040 SCT055 BKN250 M04/M11 A3042 RMK AO2 SLP299 T10391111
JFK,2014-01-01 13:51,-73.7622,40.6386,30.02,12.92,48.48,280.00,8.00,0.00,30.42,1030.00,10.00,M,FEW,SCT,BKN,M,4500.00,8000.00,25000.00,M,M,M,M,M,M,M,M,21.67,KJFK 011351Z 28008KT 10SM FEW045 SCT080 BKN250 M01/M11 A3042 RMK AO2 SLP300 T10111106
JFK,2014-01-01 14:51,-73.7622,40.6386,32.00,10.94,40.99,300.00,14.00,0.00,30.42,1030.20,10.00,M,FEW,SCT,SCT,BKN,4800.00,8000.00,17000.00,25000.00,M,M,M,M,M,M,M,21.16,KJFK 011451Z 30014KT 10SM FEW048 SCT080 SCT170 BKN250 00/M12 A3042 RMK AO2 SLP302 T00001117 51006
JFK,2014-01-01 15:51,-73.7622,40.6386,32.00,12.92,44.74,260.00,9.00,0.00,30.42,1030.10,10.00,M,FEW,BKN,BKN,M,5000.00,18000.00,25000.00,M,M,M,M,M,M,M,M,23.51,KJFK 011551Z 26009KT 10SM FEW050 BKN180 BKN250 00/M11 A3042 RMK AO2 SLP301 T00001106
